@relation 'train-set'

@attribute 'Document Text' string
@attribute subtask_c {"OTH", "IND", "GRP"}

@data
' bitch my life was flashing before my eyes',IND
'  hes been trashing all along even to our allies',IND
'   people who employ fascist tactics are fascists thats what antifa does do you want me to start posting videos of antifa riots',GRP
'   we all have concerns about the democrats disgusting behavior and disrespect for this country and our constitution of the united states and the violation of your oath to citizens and our constitution',GRP
' oh fuck i forgot about poopy in my diaper pants you know me before i know myself',IND
' and hypocrite flies in his private jet around the world',IND
' he is the absolute worse period that is all',IND
'no my family arent maga they just dont care theyre apart of the populace who get distracted by pop culture completely they have zero idea what is going on in the world until i tell them amp even then they dont care im a lion amongst lambs ',GRP
'  homer losing his boner over this is very petty there was a resemblance but again even if she is if they arent shoving it in our face then its okay',IND
' keemstar said he is not paying he just wanted his sever on rust popin i said pay him or the ooks will come for you on rustface with tears of joy',OTH
'  she is so stupid it scares us average americans that she makes decisions on our behalf',IND
'  bitch shut upcyberpunk was announced way back in 2012 and just now getting revealed get your facts straight',IND
' down with liberals',OTH
' trudeau and liberals are incompetent to handle it',GRP
' real goal to make everyone in wisconsin as dumb as he is ',IND
' the ironic thing is you are more closely aligned with the far right they are even agreeing with you look down the thread some asshole just posted a thing about iq in your defense fuck off with that shit',IND
' smack the shit outta her face with tears of joyface with tears of joy',IND
'  it crossed my mind that sheriff israel may have ordered them to stand down the democrats will use any tragedy to be in the public eye to promote gun control its a shame that these things even came to mind but i have seen too much from the left to be surprised at anything',GRP
' i heard ur cock was big and lonely',IND
'  are you bipolar you keep saying different shit to people commenting on what u said',OTH
' in other words mueller it is not constipated in other words mueller has diarrhea ',IND
'libdemconf shows me that  are absolutely void of constructive ideas for the myriad problems the uk faces  and begging  and  moderates isnt the answer thatcher was right  the parrot is dead',IND
' probably say fuck it an do just that',IND
' why you ruin shit lol',IND
' your looking more like a plant maga walkaway ',IND
' from a man fast and furious was held in contempt',IND
' i told myself this but no matter how much i try life keeps biting me in the ass',IND
' fat ass liar strikes again neverforget',IND
' he is totally bluffing',IND
'democrat cant even compete w  maga ',IND
' she is an monster',IND
'  so alyssa you saying he is guilty  what ever happened to innocent before guilty  and if he is innocent would you at least tweet an apology  shut up and answer the tweet',IND
' she is one of satans daughters',IND
'    you are a boring individual its seems good too me',IND
'   actually my ancestors were here long before anyone got here even your french ass native americans were here first so get your facts straight so if you wanna throw punches make sure you know who and where you are throwing them first',OTH
' gutierries =pile of poo what did he do to help pr  what is he doing now besides hoping for a high body count to blame on trump',IND
'   most stupid tweet yetand yesits a libtardrolling on the floor laughingrolling on the floor laughingrolling on the floor laughingok handpile of poo',IND
' he probably had sex twice for boruto and the other sister that no one cares about',IND
' eric holder is an arms dealer and should be in jail how did this ass slip by',IND
' and bale is shit',IND
'mondaymorning mondaymotivation mondaymood mondaythoughts another republicans    trump swamp lier    maga women christianity ',GRP
' he orchestrated provoked it so that he could cry that he was the victim of a yet another conspiracyhe is such desperate weirdo',IND
' get back on your peanut farm old man',IND
' your fucking bf nigga',IND
'  she is threatening american citizens she will kill women arrest her',GRP
'  this b**ch behar needs to shut that big ugly hole on her face and think about the fact shes not giving kavanaugh or his family the benefit of their rights as citizens in her fat head theyre guilty bc theyre conservatives behar needs a muzzle around decent people hrc clone',IND
' mueller can go fornicate himself he is as crooked as the day is long',OTH
'people leaving racist comments on my posts will be instantly blocked there are low follow accounts posting this crap and i think they are trying to make maga look bad  if you are racist in any way feel free to block me because i think youre an ignorant pos',GRP
' why is antifa upset w  prof blasé ford antifa is the group that harrasses amp threatens people at their homes',GRP
' primary argument against kavanaugh is that he is too constitutional  the democrats started a civil war during clinton  they heightened their propaganda during obama  they are scared animals backed into a corner  antifa  blm amp ms13 are their sturmabteilung',GRP
' both qanon and antifa will be listed as diseases',IND
' i love you bitchhh i aint never gonna stop loving you bitchhhhhh',IND
' because im a broke ass bitxh  and lol eveb better she runs in her sleep so like while she is lying down she just runs like feet going usain bolt xd and i get kicked a lot call me hand light skin tone',IND
' as usual  does not have a clue the kids must make this shit up when he takes a crap since they are of the same consistency',IND
' im not an asshole libtard',IND
' because he is right the governor of puerto rico puerto rico is a fraud',IND
'  nurse is valuable in his own end have you watched him play he rarely gets the puck out in first attempt also not all that spectacular defensively not worth what he is holding out for',IND
' nope not going to miss his sorry ass at all',IND
' yea that a crazy ass story like how do you go into the wrong apartment there numbers on doors and would not you notice as soon as you walk in and it ai not your shit woman shrugging light skin tonewoman facepalming light skin tone',OTH
' hey woodward you are a silly old fart and do not know what is going on in the white house  you are the one who has reached a mental stage yourself of alzheimers',IND
' robyn i was gonna make vegan scones but i ran out of fucking time  blame my biochem lab',OTH
' well if trumpster said it then it must be true he also have himself a 10 on handling cuba hurricane sad piece of something he is',IND
' it sucks hy woman facepalming',IND
'     no   i mean parasite in the sense of private companies being an unnecessary  and universally unwanted bauble imposed on an essential public service by people who put profits before public opinion and democracy',GRP
'  is it credible to believe he is worse than either gordon on the browns in 2018 or 2017 brandin cooks',IND
' neutral face sorry but she is an idio',IND
' the dregs of society are isis  antifa  blm  planned parenthood  illllegal aliens  pedofiles  and liberals  this is who the democrats support  once again  accusing others of what you  biden are guilty of',GRP
' just listening to juan williams on the five drives me crazy  he is such an ignorant man  where does this man get his facts  thank god for jesse waters and you ladies',IND
' now that the pot calling the kettle black liberals are nothing but bullies antifa bullies trump haters bullies',GRP
' where is the fascist version of antifa',IND
'930 pm 3rd round gun control whining and sen blumenthal hands still shaking like a leaf as he tells the judge get into the real world this from a millionaire who has no idea about the real world   kavanaughconfirmationhearings',IND
'    lol she is such a troll im so glad she went away and all u trump supporters told her to gtfo thank god we got a real superstar in  who is going to actually fight for everyone no matter who they choose to vote for isnt she awesome please join us we rly need ur help',IND
' this is why we need gun control',OTH
'  prove your claim or be exposed as the lying piece of shit you are   meanwhile ',IND
'   do it with quran and then we will see how much atheist and brave she is hindus figured it out that this type of attention grabbing big boss wanna be people are not worth it  go live in your 2 minutes prime time covered life  lord krishna and his followers dont care',IND
'  dont disrespect sharpie like that bro it was definitely some off brand shit from the back of a dollar tree loudly crying face',IND
'  i have never once heard you be thankful all you do is shit on canada on the police on our history on conservatives',OTH
'  just imagine if dr ford was a member of a minority antifa would be firebombing the judge residence identypolitics',IND
' it is more what she does than who she is',IND
' goodell is one of the worst things that has ever been unleashed on pro sports  useless',IND
' master of none was so fucking good',IND
'stop sign truthfeed news stop sign backhand index pointing right just in fbi deals yet another devastating blow to democrats on kavanaugh accuser magaunited states2a prolife ',IND
' that was awesome i love hearing you destroy the liberals but most of all trudeau',GRP
' and the factory coming back u do n a movie on that sum worth do n cause just sling shit shows no intelligence',IND
' deranged and demented what a perfect match for the democratic party',OTH
' amenadiels were my favorite the massive triangle shape the actor being hot the big connection spots kisses my fingertips',IND
'  liberals are full of hate yet they talk like their morality is above anyone  who thinks differently funny how their words and actions never match up to what they pretend to preach imposters of any human decency emotionally and politically bankrupt',GRP
'a divided self or my name is legion  demon possession overall is marked by a loss of freedom  the gadarenes are us   ergnews antinazigr antifagr antifa stopthehate goldendawn gdtrial jesuschrist jesussaves jesusislord jesusisgod prayers hope ',IND
'  found out the name but i forgot',IND
'qanda what happen to the predicted fall of society after  ssm only the religious conservatives right     are the ones  running a muck in government',GRP
' bernie you have been in congress how long now that you are getting closer to your death bed since you are old as dirt why a concern now how many bills did you try to write or endorse before you decided to run for potus do tell',IND
' face with tears of joy nigga hit em wit the o well lowkie',IND
'  the ‘antifa’ crowd what a quack',IND
' thank you for saving the dogswhy are people assholes',IND
' crazy how funny jim used to be now its funny how crazy he has become',IND
' keep up the good work while the liberals waste time crying and pointing the country moves closer to greatness again maga',IND
'    this comment only shows that having refused to engage with facts you do the fascist antifa approach which is to use personal attack to try to bully your way into some mythical win research projection and stop doing it u look stupid now',GRP
'gop voters better wake the hell up  rnc poll finds gop voters arent worried about midterms thats bad  via  maga  tuesdaythoughts',GRP
'  you ca not accuse someone of something like this amp expect to not have to come forward amp testify about it we are we just suppose to believe it amp crucify him  i am sure u liberals think so',GRP
' lol okay cuz this shit gotta be discreet face with tears of joy',IND
' your pappy is a big fat fool the democrats does not have to make him look bad he makes himself look just what he is an ignorant 5th level  fool',IND
' his mouth goes to one side all smirky and shit and i do not like it',IND
' yes liberals vs progressives this should be a really dumb banter  go',GRP
' bad ass bitch*',IND
' mann i ai not that smoove booty like you gee loudly crying facegrinning squinting faceman shrugging medium skin tone',OTH
' die bitch',IND
'        how blindly ignorant you are shameful people with the deep thinking you lack can vote',IND
'     holy shit thats awesome',IND
'willie hurtful response to his former fans who have quit him in droves over of his support for that little hippie beano maga  ',IND
' here is the problem with the leftthey ca not have an intelligent debate on an issue want to prove a point have norm on and question him about his comments and have points to counter his comments instead the left just silenced him shows their lack of intellegence',IND
'  i know right it pisses me off he is so busy giving himself credit while we are all scared to death  here in nc i do not trust him',OTH
' she is evil  how dare her',IND
' it is all about bs index pointing upthink there any more idiot tham the liberals',GRP
' the fact that she is disrespectful and blatantly rude has nothing to do with her situationzany face',IND
' brennan sure as hell is',IND
' it is exactly why i tweet well that and making fun of liberals and their insanity folded handsunited statesred heartlatin crossred heartunited statesfolded hands god help folded handsred heartlatin crosslatin crossred heartfolded hands',OTH
' since lebron eat ass i guess i have to now ',IND
'  make yourself useful and  go bury your head in the sand',IND
'  no people died because officials robbed n didnt do their jobs',OTH
'    coward  answer question  what have i posted on  that is not factual   as a staunch conservative and pro israel i post  positive facts to counter canadian media helping liberal trudeau assault on conservatives and israel   you are either ignorant or a liar',IND
' heard from who you and your lying jealous cronies',GRP
'should i try out aikido instead of krav maga thinking facethinking face aikido kravmaga',IND
'                                            if we dont destroy the bush clinton crime family well face many more like obama',GRP
' he can go to hell',IND
' lucky bitch face with tears of joyskull',IND
' maybe there wouldnt be 5 of these things a day of there was a little sensible gun control in this fucking country',OTH
' thankstrump this is a start we must get these numbers down to 0 zero by any and all means necessary these so called refugees who are not terrorist sexual criminals must stop being cowards and return to their native lands to fight maga refugeesnotwelcome',GRP
'  you ai not doin your part then face with tears of joy check them pussies i am from the hood and i still do not say the n word cause i am a little more educated i got other ways to describe my brother or friends i feel the same way as you though too many people going left unchecked',IND
' he is speaking to the best of the best  with utter disrespect    our law enforcement ice agents  all first responders  low middle and high class of all races and religions   disagree mr creepyjoebiden  gravy train is over punk  joedonttouchsomuch biden dirty hand joe',IND
' awesome win i truly believe americans are sick to death of what the left is trying to do to destroy america and change our country into what it never was intended to be go vote america and maga thank you president trump for believing in our country and keeping promises',GRP
'  calling conservatives hillbillieshmmm that original funny how many poor hillbillies you tweet about have incomes and iq 4 times higher than you your humour sucks btw',IND
' my coworker has a sick ass one for work',IND
' gonna need a whole ass rant thread done in the utara loghat to really feel it haha',IND
'  look at sweden  france  uk  europe is changing europe will be a muslim continent by 2050 please watch the youtube video title  muslim demographics    you will be scared to death  unless you are a muslim or love islam mind u  im an african in america',GRP
'    for a moment i thought you were about deaths  sounded fucked up sick at first',IND
' but i thought california had gun control',OTH
'  is no one considering the fact that russia might be using antifa to spread black propaganda remember the berlin wall',OTH
' hostile environment against the poorest and most vulnerable in our society just keeps on rolling so much for christianmorals eh if you voted for this shit then hang your head in shame  jc4pmnow poverty disabilityrights ',IND
' poor germansthey have  refugee violence and antifa violenceit must be nice to live in germanistan',GRP
' they probably all wrote it together while pissing in your mcdonalds coffee',GRP
'  she is trolling to fuck with you cause some of y’all be quick to call mfs coons for minor disagreements',IND
'  i hate  so much now they fucked up the whole franchise',IND
' he is going to destroy america like he has done to many of his businesses he does care about middle or lesser america and americans he only cares for himself and the top 1 who hopefully see the light soon before they have no countries to sell their products to',GRP
'  rae sis dont say no offense then like tweets calling me a sad bitch  also im truly shocked ur on the l6 train this year',IND
'  all he is missing are the inmate number',IND
' hasnt this flake left yet  how dare these people hang a man without evidence and at the word of a loon with repressed memory sue her and i bet she shuts up fast',IND
'mediatoo selective putrid outrage only at conservatives only by liberals who want us to know how moral they are  re kavanaugh and any other repub who will stand up against them ',GRP
'  further proving that liberalismcausesmentalretardation and feminists are a cancer on the american republic',GRP
' you are a communist state controlled newspaper   very much like antifa would love to see   and your country executes people who dissent with your support   enough said   get off my twitter stream',IND
'  i fully support antifa i give them money white nationalism is cancer in a proudly multicultural society it should be illegal it is in germany we had two wars over this issue white nationalists lost both we are done with this discussion',GRP
'      they ca not his a sheep just follow along with fake news and put everyone who can think for themselves as kkk antifa wannabes',OTH
' hypocrite you run a commercial about ur support for gun control amp protecting kids showing ur kids really u support abortion what is the difference in that and a gun they both kill     ',IND
' liberals like you will never convince us to become lazy entitled victims but keep trying i just feel sorry for your son having to be raised by someone who will only impart him with the mindset of self hate and victim hood',IND
' first man movie is an accurate metaphor for the nwo globalist left  they give you enough to make you believe theyre truthful unless you have educated yourself',GRP
' hey samsung on your website you declined me 2 times for credit i can afford your phone without your ass this is my second one maybe next time even though i hate iphone ill buy iphone so screw you',OTH
'   that how a career in media workspeople admire you if people think you are a piece of shit you wo not make it far',IND
'  you are a disgrace',IND
' i am jealous',IND
'  you are out of you damn mind feinstinkle had this band then leaked it she took a lie detector test and hired a lawyer last month she is accusing a judge of a crime that is 35 years old with no proof ruining a mans life over an accusation with no proof you stfu',IND
'  guess what chicago kids go theu this shit every day and they have the strictest gun control around',GRP
' police your own first right   you see it as unfortunate he is saying these things in public but others see it even more unfortunate that she says the things she says in public she is an extremely public figure and he is using a similar platform',OTH
'   socialism once its implemented has historically had only one effective stop measure and that has been civil war knowing that the force reasoning behind gun control becomes clear you can have a clear picture of this process by reading saul alinskys rules for radicals',GRP
'   i really think he is mentally ill why does his family not address the issues maybe jared did with the op ed',IND
' but he is still fucked up for not respecting lgbtq',IND
' holy shit  how brainwashed can ya be',IND
' yea jeff should go antifa is a terrorist organization',GRP
' yeah he had to go back to the faerie world to handle shit there',IND
' im honestly not surprised coming from the school you are in why would you be vaping i noticed they like to accuse you of a lot of stupid stuff but dont let it get to you',IND
' neither does antifa or black lives matter or any other soros funded groups',GRP
' i do not support trump he is an abomination',IND
' omg he is i fucking hate dale',IND
'  the name alt right is to make people think its a right wing groupjust like antifa that are fascist blm that really to they all black lives dont matter',GRP
'   most mass shooters are liberal white men we should have liberal control not gun control',GRP
' aaaaaaaaa that so exciting the majority of my friends are in second year at this point so the blow i am about to receive from moving to a whole ass other country has not hit yet i am doing film studies because i hate myself apparently   wbu babie',IND
' you are a disgrace go home you are not the president anymore you are breaking tradition of the former president stepping aside this is no longer obama country this country belongs to we the people not your sheeple maga ',IND
'     please tx do not elect this fake conservative he is bought amp paid for with soros money so many unethical things in his personal history',IND
' sorrynothing but a setup to try and appease the socialist democratic wacked out liberals we are not stupid',GRP
'  we all know this is another liberals corruption',GRP
' dont you have to weigh under 200 lbs to be considered a porn star',IND
'     monkeys have been used for centuries to dehumanize black people but none of that has anything to do with the 5th largest economy in the world and a 9 billion surplus everything else you are saying is nonsense againtske your l and leave',GRP
'  omg a good guy is now evil same thing happening is america the globalist world leaders with all their money would have us believe what is evil is good and what is good is evil i have read that in the good book  for the end time',GRP
'  why do you identify as antifa if youre transphobic',IND
' then im as crazy as you are cause i believe the same outcome will happen this sunday 49ers 27 kc 17 niners babythumbs uponcoming fist',IND
'  oh shit the mafia have finally found me',IND
'   why do some conservatives blindly follow a fascist',IND
' goodell is the worst commissioner of any sport from any time in history',IND
'   listened they dont give a shit about what the fans think all theyre doing is counting their fox money',IND
' you were made a fooln of last night by kavanaugh so like a spiteful child seeking attention youngo on your wide eyed rant you are an embarrassment to the chamber and this country',IND
'serenawilliams yes she should be boycotted  she is a nasty bit of work',IND
'  so let me get this straight they want us to hold off on the confirmation hearing for what polygraph is inadmissible all to hear he said she said ford signs paper in trump case against illegal separations and cavanagh has just about every woman stating he is honorable vote ye',GRP
'  and most hillary supporters are racist liberals',GRP
' ill lock yo sorry ass down hugging face',IND
'   no one needs hunting in canada spread the wordthere is no place in a civilized society for rifles and shotgunsthe coalition for gun control has 200 associations behind us to support and the liberals in the name of the safety of our kids mr blair ban those guns',IND
' a bunch of self aggrandizing liberals in fancy dresses mocking trump except for the fancy dresses  sounds a lot like the dems who are trying to lynch kavanaugh politics metoowitchhunt ',GRP
'and the bull$hit just keep coming so were expected to just accept these allegations for their face value the left swamp plot thickens we need to out the offenders once and for all confirmkavanaugh maga ',IND
' woooow trump voters are getting really crazy maga ',GRP
'  trump is maga',IND
'  tomorrow night you get dropped   will make sure he is not robbed again  you fraud',IND
'   oh yeah terry porters 40 second pi call osu alumn naw im over it your coach and his scumbag history if you know anything about his history with aaron hernandez you would know what kind of scumbag he is but osu is a shithole so the story goes on ',IND
' well  theres that one idiot you keep thinking will show up in your mirror every sundown when you rise again to walk the night in search of carnage to fill the emptiness where your heart amp soul used to be altho  now ya mention it  lots of other conservatives come to mind too',IND
' she is no doubt the greatest female athlete but a sore loser imo',IND
'a little appreciation post for my bestie because she is a bad bitch and i am thankful for hergrowing heart  ',IND
'  its bull shit we all know',IND
'  she is a dog with fleas',IND
' you are a coward and really have no right to be ag you are a disappointment your days are numbered and so his your party',IND
' tough crap mazie there should be a me too for men with false accusations against them as well as those hurt by democrat lies  false accusations  biased government agencies  biased media sensationalism and antifa bullies etc',IND
'    um  no saying that labour is the party of hatred implies they are the most hateful party  and therefore the conservatives are less hateful  whilst the claim about the tories can be disputed  its not whataboutery',GRP
'   united states because they think sen collins is a stupid coward   ampall they have to do is bullie   sencollins  this is whatunited statesconservatives have lives with for keycap 9yrs now   please vote for kavanaugh  letgod take care of the rest',IND
'  it makes my skin crawl just looking at this woman   theresa may is a liability to our nation and  and must be removed asap',OTH
'  took the words out of my mouth he is just horrible',IND
' he can suck it',IND
'     he had 1 offer since june the shitty browns thats it stop thinking he is still good you are living in the past',OTH
' yes the good old days when conservatives got pushed around and bullied by democrats who never gave an inch the good old days when all conservatives could do was feign outrage and promise to go get them the next time yeah  thats what we need thats the healthy libs love',OTH
'  dummydonniejr woman facepalming light skin tonelying faceclown facewoman shrugging light skin tone  this is from 2008 idiot rolling on the floor laughingface with tears of joygrinning face with sweat  the apple does not fall to far from the tree when it comes to lying lying face   the american people have had enoughisenough of liarinchief and you are actually an embarrassment as well like your daddy mushroommushroom',IND
'     except those whole emails the prove what yer sayin is wrong  hannity is paid 30 million a year to blame immigrants so you idiots happily pull the feeder bar for the guy gonna take away yer healthcare gotta say the stupidity is entertaining maga',IND
' holder shouldve been removed and jailed years ago',OTH
'       gun control is racist ',OTH
'   a useful idiot no longer need him their to busy to be bothered with gun control now busy trying figure out how to sway an election in their favor not gunna happen face with tears of joyunited statesflexed biceps',IND
' my thoughts and prayers are with the families  random mass shootings  which plague our nation  are not normal and we as a country cant allow them to be normalized  craley said    the truth is these mass shootings are becoming too normal  gun control would certainly help',OTH
'dougford again using trump style authoritarian tactics •discredit the media •repeatedly spread lies •build a false reality for your followers  these are smart people the conservatives know what theyre doing this is a planned strategy to weaken democracy onpoli ',OTH
'   no you wouldnt sis i know damn well you would probably call it cute people propose in concerts all the time yet when its a gay couple its wrong youre at a fucking concert you dont have to pay attention',IND
' were buying a couple puzzle toys and looking at classes for him rn but i think he is becoming a teenage monster',IND
' naaa ive spent 24 hours laughing my huge nuts off at your stupidity  you fink your some kind of entity but your all a bunch of scared antifa pussies wiv no muscle to see anyone you try to bully even that is pathetic',GRP
' liberals never follow through on promises we have heard it all before coward',GRP
' she is saying ben  ben  when the hell are you going to do something more than just tweet crap about djt',IND
' he is a troll  not open to facts',IND
' thats a lieyour antifa lefties are nothing but violent this teacher spent a lot of time planning this attack on an honorable man with zero evidence no reason at all to hold up kavanaugh another crazy liberal hit job',IND
' 7 $ million buyout losers',OTH
'adam schiff saying he is for releasing fisa info  just another in a long list of bureaucratic hacks that need to be purged from dc  please keep doing what your doing to expose these frauds and hypocrites maga kag2020  qanon  winning wwg1wga ',GRP
'  the official unemployed numbers are a joke there are millions of americans who lost their jobs and career to h 1b  their unemployment benefits ran out years ago give them their jobs back end h 1b now',OTH
' fuck you dope  not a fox watcher  independent voter that will never vote left  your party is dangerous',IND
'   old pic trump is not monitoring anything related to the hurricane  pretty sure he is shitting his pants right about now',IND
' eric holder is obamas straw man of corruption',IND
'  liberals ruin a life does not matter as long as they win in the end must stop the have no conscience',OTH
'pigeon girl can also send pigeons to poop on all maga hats',IND
'  says the bitch ass boy hiding behind a keyboard it do not hurt to ask for help sometimes ca not do everything alone you fucking clown if he can help then something is better than nothing that why i asked even if he ca not it do not hurt to ask fuck off my twitter weak ass nigga',IND
' she is incredibly stupid and perhaps the reason why she was chosen to ‘entropy‘ the trade talks trudeau will destroy everything of reason in canada would you allow a terrorist destroy canada then why have trudeau',IND
'  she is a horrible at her jobmaybe thats why her career is dying',IND
' this lies how she got the key  why she do not admit she was in date or maybe had nsa with  she is married  what is true story  bs  ok we all respct police officer but her story and excuse full of shit  please post her photo  let see how fat she is ',IND
' youre a jerk attacking julie for standing by her husband youre just like all the other liberals want to ruin peoples lives how about you not bash people until he is found guilty bet your client just wants money',IND
'   do not get on here saying that type of dumb shit',IND
'                                                  stop with your nonsense you are a block you are stupid',IND
'  he is sick very disturbed and that comment proves it',IND
' as if a liberal beta male could engage in sex with a straight female',OTH
' ive judged that the old woman is an anti semite and joan ryan is right  you are playing semamtics  youre a disgrace',IND
' liberals are muck rakers they have no platform to run on none culling vulnerable people from the late decades of the last century of the previous millennium shows how desperate they are to be heard now they are loitering around high schools looking for rumors sad',OTH
' well sure she would lend her support to the lying heifer making the false accusations she has no more intelligence than the rest of the liberals acting out sombody',IND
'  yep sure do and hes been proving it on a daily basis maga',IND
' although i think that carter was a decent man he was without a doubt the 2nd worst president in my voting history    44 was the worst if there was any question',IND
'   he is a sociopath',IND
' i seriously have no more words for how fucked up he is every time i think i found the word he does something even more despicable amp disgusting the best i can do is hope that he chokes in his own vomit for all of the stupid lies hes  told like a serial killer he has no soul',IND
' but tinubu is supporting this monster against us the biggest yoruba traitor of the modern days yoruba politics is tinubu',IND
' do you think that bothers the evil nazi democrats liberals they tried to rig a presidential election and framing kavanaugh is just another act of these evil nazi democrats  liberals politicians to destroy democracy and america  walkaway  make america great',GRP
'  of coarse he is alex and many other nation leaders are as well lapdpgs ',GRP
' gun control    means being to hit what your aiming at these elderly homeowner have great gun control',GRP
' liberals are sick this false accuser should be incarcerated for her bald faced lies ',IND
'  look at her moving and not one word of truth coming out of it if you ever get a chance to ask that layer a question ask her do you agree with me that the golan heights belong to syria she is dead dead in the water she couldnt answer it without condemning herself true',IND
'   a high tech lynching for uppity republican blacks is fine  but raping women by liberals they all do it including bill clinton',GRP
'         really and has he been charged liberals are such liars',GRP
'  she thought she would be low profile and help the dem party get rid of kavanaugh and she could remain anonymous she most likely was promised this by the party now that she can be charged with perjury she will continue with playing a victim she is not lying is a can of worms',IND
'   this is why chicago  wo not enforce gun laws on the books or go into these neighborhoods these murders are planned by gun control liberals so as to pass very strict or even confiscation of guns black luves do not matter to these liberals trying to pass their agenda 2 admendment',GRP
' he is like  holy jesus fucken christ',IND
' for lying how much is the dnc soros antifa paying her how your chinese spy doing',IND
' lmao good one  now listen up sparky your wife is a disease she is a bought and paid for evil  soulless  propaganda arm for child murderers and russian agents so stick with your cutsie  tweets but id prepare for a long prison sentence if i were you',IND
' fucking sucks when the refs are against you killthezebras',IND
' they meet many many fans it is amazing that he remembered her do not be a bitch',IND
'   they are bullshit stats but say isnt london the murder capital of europe now that gun control working right germany having some serious crime problems maybe u should take care of business at home be4 u start tweeting about the us',OTH
' you are deplorable despicable disgusting  ',IND
' democrats = thugs',OTH
'  i never watch the nfl ’ panthers suck by the way ',GRP
'  which is also posturing nonsense if they want to oust her theyd forward the requisite letters to their part whip and she would be facing a leadership challenge her challengers are as gutless and witless as she is',IND
' hes another one of the puke pool its getting pretty full i can tell you that for sure',IND
' someones is asking if davido wasnt supposed to be in camp oga madam park well davidos business is non of your business na u send am go school haterz chop shit n die',IND
'    not only the antifa got quite alot israel supporters youll find israeli flags at the right winger protest just as well oh the irony ',OTH
'    as of right now my only solid position is that the nra has become far too influential in politics and as a result they have delayed the desire for gun control for about 20 years',IND
' lol what is failing miserably is this 11th hour ambush by the liberals every minute christinablaseyford refuses to commit to appearing she and people like you lose credibility i love it face with tears of joyface with tears of joy tcot p2',GRP
'  a clear majority of conservatives approve of trump and the gop do not be stupid',IND
' god help us the woman cant even get coherent sentence out of her mouth',IND
'theresa may using labourparty policies to cling on to her weak and wobbly government housingcrisis housingmarket the conservatives are the corrupt landowners toriesout corruption',OTH
'  sick i hope he is not teaching',IND
' the killer is in the house maga walldoesntprotectfromamericans',OTH
' hollywood is full of demonic democrats',OTH
' until he is dead because even after he is out of office he will likely command the news cycle for a long time',IND
' remind me of antifa ratbags',IND
' the washed out idiot biden feels he has a chance by insulting all conservatives who are supporting their great potusi do not think so crazy joe',IND
'  liar what supporters is she talking about i was embarrassed when our last president went on a world apology tour and he even bowed to them like he was their servant ',IND
'     with the caption so much for the tolerant left  yup you fit the description of antifa  i suspect you are not a threat as i doubt you can attack any reporters from your moms basement',GRP
'  took you this long he is a beast and has been for yonks',IND
' i think michelle spilled democrats plans for civil war liberals are lunatics',GRP
'  got knocked out in the first round and one a shitty decision',IND
'  they should dress him in an ice uniform no weapons and make him walk the boarder at night calling for the drug cartel',IND
'  birch me too da fuck',IND
'   of course not she is young and dumb if she really had a brain she wouldnt believe in socialism',IND
' it is loudly crying face you get to see a good game and niggas working woman shrugging light skin tone',GRP
'california   creepy fake uber driver tries to follow woman into her home    maga kag california fakeuberdriver bodywraprestraint crimenews  ',IND
'   that head flick at 005 is her ego taking a hit she cannot take criticism she is a weak incompetent authoritarian',IND
'  you know good and goddamn well that if you tried to explain all the gun control on a military base is proof that gun grabbing laws wont do shit if you look at fort hood',IND
' manafort has been on k street for a long time he knows things deep dark things i agree he is gonna burn some folk mueller already knows who he wants manafort is gonna give them up',GRP
' do not think so maybe do a little research buddy',OTH
' you could not catch me letting some saggy whitey bitch talkin like this to me tired face bitch eat dirt',IND
' im not installing your shitty app  but put me down for 100 for the second amendment campus carry  100 against gun control except violent felons ',GRP
' man i woulda just started hitting the wall with that shit  it aint nothing by dry wall and some wood beams  im getting through that door if im him',IND
'   fuck yes ride it baby',IND
' have you ever seen the former democratic hierarchy fight against the president so much we know it is because you have been so corrupt and guilty of abuse of power it is our darkest times with the doj cia and presidential cabinet',OTH
' lol  read the title and you already know whats coming who support common sense solutions to reducing gun violence  how is gun violence different from other violence what is a non automatic firearm what is common sense gun control is it like chicago  ny  london',GRP
'  somebody do something this show sucks anymore the set designers are good though firemalyoung',OTH
'peoplesvote  stopbrexit    remain  i dont want to go either  you know what  after we leave  my slogans going to be it used to be better than this should have stayed in useless goverment ',OTH
' maybe they will havana an antifa race war amp slam the dildos out of each others butts',GRP
'  yeah he is very immature amp can dish out criticism while crying and blocking instead of accepting any it is cool folks can see him for who he is mostly',IND
'   but what makes you think they are liberals  there is nothing liberal about any of that  these people spent the 90s insulting liberals  publicly humiliating black activists  and openly attacking the new deal  where is the liberal part  they passed gop policies',OTH
' what the fuck is this they are trying to set him up so it looks like he somehow deserved to be shot',GRP
'  here come the beta liberals lmao *convo muted you can cry all day to yourselves',GRP
'    connections are vital with all of the crap twitter forces on conservatives',OTH
'ai not got shit  done today',OTH
' well remember how the cops in san jose stood down and watched as antifa thugs armed with bats bottles amp pepper spray attacked trump rally goers  they were just following orders  thats what most soldiers amp cops do soldiers follow orders amp cops protect their paycheck  sad',GRP
'greatestthingsaboutthe90s nothing the treacherous lefty media people made sure benny hill was taken off tv and even more treacherous conservatives conspired to remove maggie thatcher as our leader then almost fatally signed us even deeper into the extremely hostile commie eu',GRP
